1,00
0,97
0,90
1,00
1,00
0,98
0,98
0,98
0,99
0,92
1,00
1,00
0,99
0,98
0,99
1,00
0,98
0,92
0,94
0,86
0,99
0,96
1,00
0,99
0,95
0,89
0,94
0,96
0,99
1,00
1,00
1,00
0,82
0,97
0,97
0,92
0,90
0,92
1,00
0,98
0,98
0,98
0,87
0,97
0,99
0,96
1,00
1,00
1,00
1,00
1,00
1,00
0,95
0,95
0,95
0,97
0,97
1,00
0,99
0,99
1,00
0,99
1,00
1,00
0,98
0,97
0,92
1,00
0,96
0,99
0,98
0,98
0,94
0,96
0,83
0,91
1,00
0,96
1,00
0,98
1,00
1,00
0,94
0,95
0,95
0,97
1,00
0,95
1,00
0,97
0,98
0,99
0,98
1,00
0,99
0,96
1,00
0,97
0,94
0,88
0,89
0,97
0,99
0,99
0,98
1,00
0,96
0,96
0,83
0,77
1,00
0,99
1,00
1,00
0,91
1,00
0,97
0,99
1,00
1,00
0,94
0,99
1,00
1,00
0,98
1,00
1,00
1,00
1,00
0,96
