1,00
0,88
0,88
0,95
0,92
0,98
1,00
0,94
0,90
0,91
0,90
0,98
0,98
0,96
1,00
0,98
0,94
0,95
0,93
0,89
1,00
0,98
0,97
1,00
0,83
1,00
0,99
0,98
0,99
1,00
1,00
1,00
0,96
0,92
0,95
0,99
0,94
1,00
1,00
1,00
0,86
1,00
0,91
0,98
0,99
0,97
0,98
1,00
1,00
1,00
0,99
0,99
0,98
0,96
0,77
0,95
0,96
0,95
0,90
0,74
0,95
0,84
0,96
0,66
0,99
0,99
0,95
0,97
0,93
0,98
0,98
1,00
0,94
0,89
0,94
0,94
1,00
0,95
0,99
0,92
0,99
1,00
0,88
0,99
0,98
0,99
0,99
0,86
0,95
0,99
0,96
0,95
0,90
0,99
0,91
0,96
1,00
0,99
0,94
0,99
0,95
0,97
1,00
0,99
1,00
0,88
0,89
0,89
0,49
0,94
0,96
0,98
0,94
0,99
0,97
0,98
0,96
0,98
0,91
0,99
0,95
0,95
0,98
1,00
1,00
0,99
0,91
1,00
0,99
0,98
