1,00
0,98
0,95
0,98
0,95
0,97
0,97
0,98
0,98
0,97
1,00
1,00
0,98
0,98
0,98
0,97
0,99
0,92
0,95
0,92
0,97
0,98
0,98
0,99
0,98
0,99
1,00
0,98
1,00
0,98
1,00
1,00
0,87
1,00
0,97
0,90
0,93
0,92
0,96
0,95
0,94
0,99
0,94
0,98
1,00
0,98
0,99
1,00
0,98
0,98
0,99
0,98
0,99
0,98
1,00
0,97
0,98
1,00
0,98
0,98
0,98
0,99
0,99
0,98
0,98
0,98
0,94
0,98
1,00
0,98
0,97
0,98
1,00
0,94
0,95
0,98
1,00
0,98
1,00
0,98
0,99
0,95
0,94
0,99
0,99
0,98
0,91
0,93
0,99
0,97
0,95
0,99
0,97
0,99
1,00
0,98
0,98
0,99
0,98
0,97
0,94
1,00
1,00
0,99
0,95
0,98
0,92
0,91
0,87
0,94
0,98
0,99
1,00
0,98
0,95
0,96
0,92
0,99
0,95
1,00
0,99
0,98
1,00
1,00
0,99
1,00
0,98
0,99
0,96
0,97
